武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
サーフィンタイム,楽団+千岩,HP%+HP%+HP%,アルベド+トーマ+万葉,733019.2,1035,570,47267.63,0.3,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+千岩,HP%+HP%+HP%,アルベド+トーマ+万葉,733019.2,1035,570,47267.63,0.3,205,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+元素熟知,アルベド+トーマ+万葉,732836.8,1061.48,570,29683.4,0.766,579,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+元素熟知,アルベド+トーマ+万葉,732499.9,1136.36,570,37154.42,0.3,492,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,732490.8,1061.48,570,36759.61,0.3,579,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素熟知+会心率,アルベド+トーマ+万葉,731938,1061.48,570,29683.4,0.3,579,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素熟知+会心ダメージ,アルベド+トーマ+万葉,731938,1061.48,570,29683.4,0.3,579,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+元素熟知,トーマ+鍾離+万葉,731629.4,1136.36,570,37154.42,0.3,367,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),花海+楽団,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,730900.6,947,570,39796.61,0.766,472,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+金メッキ,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,730900.6,947,570,39796.61,0.766,472,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),楽団+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,730900.6,947,570,39796.61,0.766,472,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,730900.6,947,570,39796.61,0.766,472,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+沈淪,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,730595.2,947,570,39796.61,0.916,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+黒曜の秘典,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,730595.2,947,570,39796.61,0.916,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),千岩+沈淪,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,730595.2,947,570,39796.61,0.916,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,730595.2,947,570,39796.61,0.916,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,730340.8,947,570,49909.82,0.766,205,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,楽団+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,730163.1,1035,570,30078.21,0.916,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,730163.1,1035,570,30078.21,0.916,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,730163.1,1035,570,30078.21,0.916,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,730163.1,1035,570,30078.21,0.916,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,729354.9,1035,570,37154.42,1.066,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),花海+千岩,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,729257.1,947,570,42833.61,0.766,267,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+千岩,HP%+元素熟知+会心率,トーマ+鍾離+万葉,729111.4,1035,570,36152.21,0.3,187,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+千岩,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,729111.4,1035,570,36152.21,0.3,187,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典+沈淪,HP%+元素熟知+会心率,アルベド+トーマ+万葉,729102.1,1035,570,30078.21,0.6,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,黒曜の秘典+沈淪,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,729102.1,1035,570,30078.21,0.6,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,729015.7,1035,570,30078.21,0.766,160,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+会心率,トーマ+鍾離+万葉,729015.6,1035,570,30078.21,0.766,160,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+会心率,トーマ+鍾離+万葉,728997.4,947,570,43835.82,0.45,80,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,728997.4,947,570,43835.82,0.45,80,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,花海+千岩,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,727986.3,1035,570,29076,0.766,187,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+千岩,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,727986.3,1035,570,29076,0.766,187,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,727977.4,947,570,36759.61,0.916,472,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,727977.4,947,570,36759.61,0.916,472,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,727977.4,947,570,36759.61,0.916,472,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,727977.4,947,570,36759.61,0.916,472,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+鍾離,727931.4,947,570,36759.61,0.766,205,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),花海+楽団,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,727645.3,947,570,39796.61,0.766,347,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+金メッキ,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,727645.3,947,570,39796.61,0.766,347,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),楽団+千岩,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,727645.3,947,570,39796.61,0.766,347,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+千岩,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,727645.3,947,570,39796.61,0.766,347,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),楽団+沈淪,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,727428.1,947,570,29683.4,0.916,472,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+沈淪,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,727428.1,947,570,29683.4,0.916,472,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,727428.1,947,570,29683.4,0.916,472,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,727428.1,947,570,29683.4,0.916,472,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+沈淪,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,727428.1,947,570,29683.4,0.916,472,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+沈淪,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,727428.1,947,570,29683.4,0.916,472,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,727428.1,947,570,29683.4,0.916,472,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,727428.1,947,570,29683.4,0.916,472,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,火魔女4(1),HP%+元素バフ+HP%,アルベド+トーマ+万葉,727392.4,1035,570,37154.42,0.766,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+HP%+会心率,トーマ+鍾離+万葉,727295,947,570,43835.82,0.3,310,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,727295,947,570,43835.82,0.3,310,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+HP%,トーマ+鍾離+万葉,727103.5,1136.36,570,44230.63,0.3,180,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+楽団,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,727033.8,1035,570,33115.21,0.3,267,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+金メッキ,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,727033.8,1035,570,33115.21,0.3,267,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+千岩,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,727033.8,1035,570,33115.21,0.3,267,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,727033.8,1035,570,33115.21,0.3,267,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+楽団,HP%+元素熟知+会心率,トーマ+鍾離+万葉,727033.7,1035,570,33115.21,0.3,267,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+金メッキ,HP%+元素熟知+会心率,トーマ+鍾離+万葉,727033.7,1035,570,33115.21,0.3,267,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+千岩,HP%+元素熟知+会心率,トーマ+鍾離+万葉,727033.7,1035,570,33115.21,0.3,267,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素熟知+会心率,トーマ+鍾離+万葉,727033.7,1035,570,33115.21,0.3,267,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+鍾離,726855.3,1035,570,30078.21,0.616,355,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+鍾離,726855.2,1035,570,30078.21,0.616,355,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,726784.6,1035,570,30078.21,0.766,472,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+HP%,トーマ+鍾離+万葉,726482.1,947,570,43835.82,0.766,240,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,楽団+沈淪,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,725845.1,1035,570,30078.21,0.45,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,725845.1,1035,570,30078.21,0.45,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+沈淪,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,725845.1,1035,570,30078.21,0.45,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,725845.1,1035,570,30078.21,0.45,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+沈淪,HP%+元素熟知+会心率,アルベド+トーマ+万葉,725844.9,1035,570,30078.21,0.45,392,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+元素熟知+会心率,アルベド+トーマ+万葉,725844.9,1035,570,30078.21,0.45,392,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+沈淪,HP%+元素熟知+会心率,アルベド+トーマ+万葉,725844.9,1035,570,30078.21,0.45,392,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+元素熟知+会心率,アルベド+トーマ+万葉,725844.9,1035,570,30078.21,0.45,392,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),沈淪4,元素熟知+元素バフ+元素熟知,トーマ+鍾離+万葉,725690.6,947,570,29683.4,0.916,454,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,楽団+金メッキ,HP%+HP%+会心率,トーマ+鍾離+万葉,725380.4,1035,570,37154.42,0.3,160,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+金メッキ,HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,725380.4,1035,570,37154.42,0.3,160,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+楽団,HP%+HP%+元素熟知,トーマ+鍾離+万葉,725172.6,1035,570,40191.42,0.3,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+金メッキ,HP%+HP%+元素熟知,トーマ+鍾離+万葉,725172.6,1035,570,40191.42,0.3,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+千岩,HP%+HP%+元素熟知,トーマ+鍾離+万葉,725172.6,1035,570,40191.42,0.3,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+千岩,HP%+HP%+元素熟知,トーマ+鍾離+万葉,725172.6,1035,570,40191.42,0.3,267,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,HP%+HP%+会心率,アルベド+トーマ+万葉,725004.4,947,570,43835.82,0.6,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,725004.4,947,570,43835.82,0.6,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,724735.3,947,570,36759.61,0.916,347,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,724735.3,947,570,36759.61,0.916,347,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,724735.3,947,570,36759.61,0.916,347,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,724735.3,947,570,36759.61,0.916,347,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,724585.3,947,570,29683.4,0.916,392,1.00:2.10,,0.00:1.60,1.6
サーフィンタイム,黒曜の秘典+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,724409.8,1035,570,30078.21,1.066,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,724318.9,1036.04,570,36759.61,0.766,447,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),楽団+沈淪,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,724188.3,947,570,29683.4,0.916,347,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+沈淪,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,724188.3,947,570,29683.4,0.916,347,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,724188.3,947,570,29683.4,0.916,347,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,724188.3,947,570,29683.4,0.916,347,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+沈淪,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,724188.3,947,570,29683.4,0.916,347,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+沈淪,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,724188.3,947,570,29683.4,0.916,347,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,724188.3,947,570,29683.4,0.916,347,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,724188.3,947,570,29683.4,0.916,347,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+HP%,アルベド+トーマ+鍾離,724151.9,1061.48,570,43835.82,0.616,205,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,しめ縄4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,724095.3,1165.32,570,23002,0.766,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,しめ縄4,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,724095.1,1165.32,570,23002,0.766,312,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+沈淪,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,724050,1035,570,33115.21,0.916,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,724050,1035,570,33115.21,0.916,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,千岩+沈淪,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,724050,1035,570,33115.21,0.916,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,724050,1035,570,33115.21,0.916,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心率,エミリエ+トーマ+万葉,723943.2,1035,570,30078.21,0.766,230,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,エミリエ+トーマ+万葉,723943.2,1035,570,30078.21,0.766,230,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+白朮+万葉,723943.2,1035,570,30078.21,0.766,230,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+白朮+万葉,723943.2,1035,570,30078.21,0.766,230,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+万葉,723943.2,1035,570,30078.21,0.766,230,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+万葉,723943.2,1035,570,30078.21,0.766,230,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,723837.5,947,570,36759.61,1.066,267,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+楽団,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,723835.2,1035,570,26039,0.766,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+金メッキ,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,723835.2,1035,570,26039,0.766,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,723835.2,1035,570,26039,0.766,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,723835.2,1035,570,26039,0.766,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+楽団,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,723835.1,1035,570,26039,0.766,392,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+金メッキ,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,723835.1,1035,570,26039,0.766,392,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,723835.1,1035,570,26039,0.766,392,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,723835.1,1035,570,26039,0.766,392,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),金メッキ4(同元素1),元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,723772.4,1036.04,570,29683.4,0.766,447,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素1),元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,723772.4,1036.04,570,29683.4,0.766,447,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,723740.5,947,570,31900.41,0.916,227,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,723547.7,1035,570,30078.21,0.766,347,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+元素熟知,エミリエ+トーマ+万葉,723401.9,1061.48,570,36759.61,0.766,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+元素熟知,トーマ+白朮+万葉,723401.9,1061.48,570,36759.61,0.766,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+元素熟知,トーマ+万葉,723401.9,1061.48,570,36759.61,0.766,267,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,723291.3,947,570,29683.4,1.066,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,723291.3,947,570,29683.4,1.066,267,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,楽団+金メッキ,HP%+HP%+元素熟知,アルベド+トーマ+万葉,723160.5,1035,570,37154.42,0.3,472,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心率,エミリエ+トーマ+万葉,722856.1,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心ダメージ,エミリエ+トーマ+万葉,722856.1,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心率,トーマ+白朮+万葉,722856.1,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心ダメージ,トーマ+白朮+万葉,722856.1,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心率,トーマ+万葉,722856.1,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心ダメージ,トーマ+万葉,722856.1,1061.48,570,29683.4,0.766,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心率,エミリエ+トーマ+万葉,722514.8,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心ダメージ,エミリエ+トーマ+万葉,722514.8,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心率,トーマ+白朮+万葉,722514.8,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心ダメージ,トーマ+白朮+万葉,722514.8,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心率,トーマ+万葉,722514.8,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心ダメージ,トーマ+万葉,722514.8,1061.48,570,36759.61,0.3,267,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,楽団+沈淪,HP%+HP%+元素熟知,トーマ+鍾離+万葉,722477.7,1035,570,37154.42,0.45,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+HP%+元素熟知,トーマ+鍾離+万葉,722477.7,1035,570,37154.42,0.45,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+沈淪,HP%+HP%+元素熟知,トーマ+鍾離+万葉,722477.7,1035,570,37154.42,0.45,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+HP%+元素熟知,トーマ+鍾離+万葉,722477.7,1035,570,37154.42,0.45,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,しめ縄4,HP%+HP%+元素熟知,アルベド+トーマ+鍾離,722361.1,1165.32,570,37154.42,0.15,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄+楽団,HP%+元素バフ+会心率,アルベド+トーマ+万葉,722161.3,1061.48,570,36759.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄+楽団,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,722161.3,1061.48,570,36759.61,0.766,285,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,722161.3,1061.48,570,36759.61,0.766,285,0.99:1.97,,0.06:1.47,1.6
